Packet ID,TIME,Size,eth.src,eth.dst,IP.src,IP.dst,IP.proto,port.src,port.dst
193260,1645404109,66,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,52.114.16.140,6,53211,443
193280,1645404109,66,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,52.114.16.140,149.171.144.58,6,443,53211
193291,1645404109,60,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,52.114.16.140,6,53211,443
193306,1645404109,571,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,52.114.16.140,6,53211,443
193329,1645404109,6038,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,52.114.16.140,149.171.144.58,6,443,53211
193340,1645404109,60,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,52.114.16.140,6,53211,443
193341,1645404109,60,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,52.114.16.140,6,53211,443
193378,1645404109,212,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,52.114.16.140,6,53211,443
193379,1645404109,153,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,52.114.16.140,6,53211,443
193380,1645404109,2267,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,52.114.16.140,6,53211,443
193381,1645404109,169,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,52.114.16.140,6,53211,443
193396,1645404109,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,52.114.16.140,149.171.144.58,6,443,53211
193397,1645404109,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,52.114.16.140,149.171.144.58,6,443,53211
193416,1645404109,105,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,52.114.16.140,149.171.144.58,6,443,53211
193417,1645404109,123,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,52.114.16.140,149.171.144.58,6,443,53211
193423,1645404109,134,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,52.114.16.140,149.171.144.58,6,443,53211
193424,1645404109,60,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,52.114.16.140,6,53211,443
193427,1645404109,92,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,52.114.16.140,6,53211,443
193565,1645404109,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,52.114.16.140,149.171.144.58,6,443,53211
193943,1645404109,134,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,52.114.16.140,149.171.144.58,6,443,53211
193949,1645404109,66,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,52.114.16.140,6,53211,443
195044,1645404109,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,148.66.234.220,149.171.144.58,6,443,54638
195732,1645404109,610,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,52.114.16.140,149.171.144.58,6,443,53211
195979,1645404109,610,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,52.114.16.140,149.171.144.58,6,443,53211
195984,1645404109,66,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,52.114.16.140,6,53211,443
205804,1645404110,123,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,148.66.234.220,149.171.144.58,6,443,54641
205809,1645404110,123,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,148.66.234.220,6,54641,443
206157,1645404110,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,66.203.112.13,149.171.144.58,6,80,57908
206160,1645404110,60,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,66.203.112.13,6,57908,80
208064,1645404111,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,148.66.234.220,149.171.144.58,6,443,54641
228398,1645404113,123,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,148.66.234.220,149.171.144.58,6,443,54638
228542,1645404113,123,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,148.66.234.220,6,54638,443
230880,1645404113,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,148.66.234.220,149.171.144.58,6,443,54638
236493,1645404114,87,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,52.108.40.15,149.171.144.58,6,443,52732
236860,1645404114,60,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,52.108.40.15,6,52732,443
243870,1645404114,123,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,148.66.234.220,149.171.144.58,6,443,54641
243889,1645404114,123,b8:38:61:70:8c:c0,3c:61:04:50:2f:c9,149.171.144.58,148.66.234.220,6,54641,443
246697,1645404115,60,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,148.66.234.220,149.171.144.58,6,443,54641
278017,1645404117,123,3c:61:04:50:2f:c9,b8:38:61:70:8c:c0,148.66.234.220,149.171.144.58,6,443,54638
